message,selected_messages,sentiment
 thanks brad  looking forward to chatting with you too btw like your new pix,thanks brad looking forward chatting btw like new pix,positive
your true theatre calling  musical theatre actor  i wish  ,true theatre calling musical theatre actor wish,positive
the djs and partypeople were great again at cc kicking  next one june ,djs partypeople great cc kicking next one june,positive
dinner smells goodman im hungry so sunny outside wish i was at wonderland,dinner smells goodman im hungry sunny outside wish wonderland,positive
going to revise for physics,going revise physics,neutral
happy mothers day to all mothers here,happy mothers day mothers,positive
hmmm i neeeddd foooddd  nd is looking forward  playing with the puppy  day nd seeing lewishhh,hmmm neeeddd foooddd nd looking forward playing puppy day nd seeing lewishhh,neutral
 hey gio you are beautiful i am brazilian and i love you hahahaha please answer me  ,hey gio beautiful brazilian love hahahaha please answer,positive
 i am with you followfriday is easy enough for those who are annoyed by it  i recommend relatively few people anyway,followfriday easy enough annoyed recommend relatively people anyway,neutral
 hey man congratulations on the graduation man your world wide popular in philippines,hey man congratulations graduation man world wide popular philippines,positive
 you are very very good why didnt i think of that,good didnt think,positive
httptwitpiccomfq  this is making me sad,httptwitpiccomfq making sad,negative
not gonna lie im going to miss high school lunches a lot ,gon na lie im going miss high school lunches lot,negative
going to bed  hows ever reading this,going bed hows ever reading,neutral
 never  smh i dont own flats  lol,never smh dont flats lol,neutral
working   but its fridaaaayyyyy,working fridaaaayyyyy,neutral
all this talk of buttershots has me wanting some  maybe ill have a small bit over ice i havent had any since faire,talk buttershots wanting maybe ill small bit ice havent since faire,neutral
what is love baby dont hurt me dont hurt me no more i want to watch night at the ruxbury right now,love baby dont hurt dont hurt want watch night ruxbury right,negative
got back from helping my sis with stuff for my nieces st birthday i saw a pspds lite car charger in toy kingdom sm for only p,got back helping sis stuff nieces st birthday saw pspds lite car charger toy kingdom sm p,neutral
 that would be most ideal howevernow i dont see myself leaving before   gonna have to take a rain check,would ideal howevernow dont see leaving gon na take rain check,neutral
i jus planted a garden in my backyard,jus planted garden backyard,neutral
getting really guilty,getting really guilty,negative
_louise so i can just watch that again  x,_louise watch x,neutral
 aww sweetie  you could always take a break and read or write something happier thatll make you feel better,aww sweetie could always take break read write something happier thatll make feel better,positive
 i will try but i dont care what my mum says,try dont care mum says,neutral
  httptinyurlcommdrb i just noticed that too,httptinyurlcommdrb noticed,neutral
ive just realised   followers yay  ,ive realised followers yay,neutral
 an iphone app came out a few months back called zemote bumped my domain zemotecom out of the  spot,iphone app came months back called zemote bumped domain zemotecom spot,negative
is sad when peoples phones are dead,sad peoples phones dead,negative
    go get em  lol,go get em lol,neutral
 im thinking you deserve an award a big shiny one,im thinking deserve award big shiny one,positive
 the ending is te funniest youll see   you know paranoif is always stuck in my head love it,ending te funniest youll see know paranoif always stuck head love,positive
 i want pho ive never had it before,want pho ive never,neutral
 my brain has become a converter ed ive been converting into lm for  the past  yrs every  mins of every single day,brain become converter ed ive converting lm past yrs every mins every single day,neutral
 hahah  okay then thanks for this short explanation ,hahah okay thanks short explanation,positive
ok home made pizza tonight but horrors ive run out of anchovies,ok home made pizza tonight horrors ive run anchovies,negative
im always a little sad to see followers i really like decide to unfollow me,im always little sad see followers really like decide unfollow,negative
moro is the end of my stay  to bad shes in ny then off ft laud a weddin florida is fun but i miss home and spikecar lol,moro end stay bad shes ny ft laud weddin florida fun miss home spikecar lol,neutral
back in spain,back spain,neutral
_ryan justits quiet a bit of it tbh xd,_ryan justits quiet bit tbh xd,neutral
hopefully im getting my new windows tomorrow still using my mums lap birthday tomorrow eve and facebook doesnt work somehow,hopefully im getting new windows tomorrow still using mums lap birthday tomorrow eve facebook doesnt work somehow,neutral
httptwitpiccomgy  my glass is empty will someone be a dear and fetch me another,httptwitpiccomgy glass empty someone dear fetch another,neutral
 am  time for bed nite all,time bed nite,neutral
about to start work and missing him like crazyi wont be seeing him till tuesday,start work missing like crazyi wont seeing till tuesday,negative
 we should have a twitter reunion it would be awesome to meet you all lol iwonder howd iget that to pull off,twitter reunion would awesome meet lol iwonder howd iget pull,positive
 hi what are you a consultant for,hi consultant,neutral
 looks class the water splash looks so real  looking forward to my review copy ,looks class water splash looks real looking forward review copy,positive
sitting in boring  litterature listening to jack johnson  missing the gf soooooooooooooooooooooooooooooooooooo much,sitting boring litterature listening jack johnson missing gf soooooooooooooooooooooooooooooooooooo much,negative
 httptwitpiccomizu  wow thats so cool,httptwitpiccomizu wow thats cool,positive
 where are ya headin to for your family vaca i hope the paparazzi leave you alone,ya headin family vaca hope paparazzi leave alone,neutral
 xd  hello thats an important date,xd hello thats important date,positive
_m  yeeee  so wassup,_m yeeee wassup,neutral
tired from work i hate closing eek but all smiles today aloha kitchen yum,tired work hate closing eek smiles today aloha kitchen yum,neutral
 aw it was so sad  shes too cute,aw sad shes cute,neutral
  i always miss it,always miss,negative
happy star wars day may the th be with you  httptrimkq,happy star wars day may th httptrimkq,positive
justins blanket shed black lint all over my white skirt,justins blanket shed black lint white skirt,negative
is working tomorrow all day so cant do anything tonight  whats the plan for saturday,working tomorrow day cant anything tonight whats plan saturday,neutral
 thanks daxx you too  god bless you brother,thanks daxx god bless brother,positive
 its because youre popular,youre popular,positive
on a day like today i am thankful for my moms teaching proverbs  and thankful that shes on twitter too love you ,day like today thankful moms teaching proverbs thankful shes twitter love,positive
_ hell know tupac lyrics too,_ hell know tupac lyrics,neutral
hello and thank you for all of the followfridays people i always forget sorry,hello thank followfridays people always forget sorry,negative
absolutley gutted i am this ill when a its this sunny outside and b i have  loads of revision to do for my c exam on tuesday,absolutley gutted ill sunny outside b loads revision c exam tuesday,negative
more sunburn,sunburn,negative
 translation  complicated sht that someone is going to have to teach me,translation complicated sht someone going teach,negative
 ok david talk later  have a great dayyyy ay ay ay ay,ok david talk later great dayyyy ay ay ay ay,positive
 i have no doubt darlin  just wish you could find a boy worthy is all  youre good people,doubt darlin wish could find boy worthy youre good people,positive
cant stop smiling  im in the best mood right now,cant stop smiling im best mood right,positive
first day for research at edmonton general,first day research edmonton general,neutral
 or maybe start your own arabic teaching podcast,maybe start arabic teaching podcast,neutral
loving that spring definitely seems to be here now,loving spring definitely seems,positive
may the th be with you  i couldnt resist,may th couldnt resist,neutral
cake is sold out at terminal ,cake sold terminal,neutral
everybody needs some time on thier own  guns n roses x  httpblipfmzkz,everybody needs time thier guns n roses x httpblipfmzkz,neutral
 mine too hayley is great,mine hayley great,positive
i feel sick after that oreo and cheesecake milkskake  lol,feel sick oreo cheesecake milkskake lol,negative
 they tried to take me  jail sissy  apparently i have a warrant in agg town yeah shocked the hell outta me lmao yeah right,tried take jail sissy apparently warrant agg town yeah shocked hell outta lmao yeah right,negative
 lol shes offering me a case of guiness  can you one up her if you buy me two ill stay lets start the bidding wars,lol shes offering case guiness one buy two ill stay lets start bidding wars,neutral
sitting here twitteringup at  am yuk i want some messages  blue monday,sitting twitteringup yuk want messages blue monday,neutral
im so dizzy already and im only on the third page of chapter   plops head,im dizzy already im third page chapter plops head,negative
ive been losing myself into too many taiwanese dramas    this is not good xd but wu chun eeeeeee,ive losing many taiwanese dramas good xd wu chun eeeeeee,negative
music soothes the soul,music soothes soul,positive
evaluating my peopledont like this part of the job,evaluating peopledont like part job,negative
 you must rest dont work hard  how abt crchan ,must rest dont work hard abt crchan,neutral
still babysitting i want another boost,still babysitting want another boost,neutral
enjoyed xmen w   now its time to rest up for this drive homehappy mothers day twitmoms,enjoyed xmen w time rest drive homehappy mothers day twitmoms,positive
so disappointed with human kind   whats wrong with the world  i have five girls in the garden innocently enjoying the good weather,disappointed human kind whats wrong world five girls garden innocently enjoying good weather,neutral
what i just missed home  away nooooooooo,missed home away nooooooooo,negative
my sister is a douchebag,sister douchebag,negative
 and i have to wait till january life is not fair,wait till january life fair,negative
 lol well im qlad u enjoyed yur ramen noodles i had fried chicken  im tired now,lol well im qlad u enjoyed yur ramen noodles fried chicken im tired,neutral
 yeah shes part lab part spaniel all energy hehe but i love her to death,yeah shes part lab part spaniel energy hehe love death,positive
i couldnt find p so i couldnt show brantley my feet  and now its raining,couldnt find p couldnt show brantley feet raining,neutral
 took my computer in for a new dvd drive  screen wouldnt come back on  had to order new computer  wait,took computer new dvd drive screen wouldnt come back order new computer wait,neutral
but i have cause i missed a lot of classes,cause missed lot classes,negative
sun  where are you,sun,neutral
crazy debt issue maybe i had messed up when closing my old account not really sure but looks like i may have to cover it  aaargh,crazy debt issue maybe messed closing old account really sure looks like may cover aaargh,negative
off to class  longggg day,class longggg day,negative
_ oh ok then ive been there before for a wedding it was heaps nice there im a big fan of qld,_ oh ok ive wedding heaps nice im big fan qld,positive
  ive seen inkheart i liked it too,ive seen inkheart liked,positive
 and its ffa evil grin but im so busy at work today i wont get anything done,ffa evil grin im busy work today wont get anything done,negative
just shot my new  rifle  the autoreset plinker target i built in shop class works great,shot new rifle autoreset plinker target built shop class works great,positive
gossip girl when are you coming back   chaceeeeeee,gossip girl coming back chaceeeeeee,neutral
eurgh revision who invented history,eurgh revision invented history,neutral
may the th be with you    happy star wars day ,may th happy star wars day,positive
 ummokjust dont start cats on fire  promise,ummokjust dont start cats fire promise,negative
huge test at the parents house the food is so good but stuck to one helping no seconds feels good,huge test parents house food good stuck one helping seconds feels good,positive
not making good time  chicago traffic   photo httpbkitecomxoh,making good time chicago traffic photo httpbkitecomxoh,negative
 wow just saw your tweet about the proflowers fiasco thats so not fun,wow saw tweet proflowers fiasco thats fun,neutral
 i never know whether they include me just straight white men right i wanna be part of the problem too,never know whether include straight white men right wan na part problem,neutral
sadness  the top horde guild that i liked disbanded,sadness top horde guild liked disbanded,negative
had a great day,great day,positive
woke up way later than i intended to today  need to start getting to bed before  am bc this will be a bad habit to break later,woke way later intended today need start getting bed bc bad habit break later,neutral
coffee and gym starting the day off right,coffee gym starting day right,neutral
hey tweepsgood morning wussup americatalk to me tell wuts on ur mind,hey tweepsgood morning wussup americatalk tell wuts ur mind,positive
_ferman thats so weak  facebook fail,_ferman thats weak facebook fail,negative
ive got mad cramps in my legs,ive got mad cramps legs,negative
just came back well yesterday from the hannah m movie i loved it i went to the highest part of the cinema to dance beautiful songs,came back well yesterday hannah movie loved went highest part cinema dance beautiful songs,positive
 cmon were talking about philosophy  the love of wisdom   i need a mat  a context to intersubjectively ground it,cmon talking philosophy love wisdom need mat context intersubjectively ground,neutral
  am still waiting on the doc to come and break my water,still waiting doc come break water,neutral
addin to that last comment was spose to be going to see the jonas brothers d movie but guess what i couldnt go aswell cos im sick,addin last comment spose going see jonas brothers movie guess couldnt go aswell cos im sick,negative
  ya i can never watch any of them l,ya never watch l,neutral
shooould be sleeping already but got caught up watching some late night roseanne officially off to bed after the next episode,shooould sleeping already got caught watching late night roseanne officially bed next episode,negative
bep killed it oh and leighton meester waved at us,bep killed oh leighton meester waved us,negative
castlebar doesnt have d so im going to galway to see the jb d movie but that could be next week or the one after that,castlebar doesnt im going galway see jb movie could next week one,neutral
and sykes will lose a few gigs while gaining some better ones frankly the best thing the rightards can do is scream about this,sykes lose gigs gaining better ones frankly best thing rightards scream,positive
watching the hills  arghh i lovee itt  makin r liam watch it with me haha girls aloud in  dayss cannot waitt too see cheryl x,watching hills arghh lovee itt makin r liam watch haha girls aloud dayss waitt see cheryl x,positive
 of couuuurse fika  ill pray thes best for you then,couuuurse fika ill pray thes best,neutral
 awww thats sweet ttt  im sure she will love it your a good son,awww thats sweet ttt im sure love good son,positive
revision continues getting so bored and tired i cant wait to get out and do interesting things only a week and half left though,revision continues getting bored tired cant wait get interesting things week half left though,negative
 yeahh ryland was amazing xd but i didnt get a hug off him booo  suarez seemed a bit off tbhbut i think hed just woken up,yeahh ryland amazing xd didnt get hug booo suarez seemed bit tbhbut think hed woken,positive
the  d movie was amazing but a little to short  i wanted more,movie amazing little short wanted,positive
god im so sleepy today i can barely focus,god im sleepy today barely focus,negative
im pissed someone took my wallet,im pissed someone took wallet,negative
no show tonight  no plans ughhhh,show tonight plans ughhhh,negative
sunnn finnalllyyy  aint slept  need some sleep,sunnn finnalllyyy aint slept need sleep,neutral
 hey samantha welcome  and happy mothers day,hey samantha welcome happy mothers day,positive
unhappy about the news that the planned experimental iter fusion reactor will become much delayed ,unhappy news planned experimental iter fusion reactor become much delayed,negative
 last reply  a scholar in us homeland security said an ontology was created for it and everybody hated its prescription,last reply scholar us homeland security said ontology created everybody hated prescription,negative
 yeah if i lived on the rez id already be dead,yeah lived rez id already dead,negative
ahh  i just woke up  forgot to reset my alarm clock,ahh woke forgot reset alarm clock,negative
 is that teh part where hes liek feeling the girl i feel sooo soooory for her,teh part hes liek feeling girl feel sooo soooory,negative
ready with learnin today  and now its twilight time,ready learnin today twilight time,neutral
who starts a briefing at  am people on the east coast thats who,starts briefing people east coast thats,neutral
 thanks bb,thanks bb,positive
 gone have my ears on it when i am at home plenty of painting for you as well,gone ears home plenty painting well,neutral
 please wish your wife evelyn a happy mothers day for me and tell her i hope that she has a wonderful day spoil her today,please wish wife evelyn happy mothers day tell hope wonderful day spoil today,positive
says just passed by to say hi  busy with movie task from school   httpplurkcomprozcz,says passed say hi busy movie task school httpplurkcomprozcz,neutral
 wish id had the balls but with my  kids with me and not knowing how illogical these ppl can be didnt want to risk it,wish id balls kids knowing illogical ppl didnt want risk,negative
oh no one minute too late oh well,oh one minute late oh well,neutral
happpy mothers day,happpy mothers day,positive
but  but  who will produce the next starsailor record,produce next starsailor record,neutral
in hysterics at yaas email  am writing a speech for speakers and doing food technology its good to be off school on a monday,hysterics yaas email writing speech speakers food technology good school monday,positive
 look like i can only quick post from the dashboard that is all,look like quick post dashboard,neutral
 thanks elaine im clipping reviews for her scrapbook,thanks elaine im clipping reviews scrapbook,positive
k now that that fiasco is all wrapped and good too go  back to studying for midterms ,k fiasco wrapped good go back studying midterms,positive
 no i wont be back until the th,wont back th,neutral
sooo tired and have a headacheall self inflicted of course good times though,sooo tired headacheall self inflicted course good times though,neutral
 uhh congrats for your two years anniversary,uhh congrats two years anniversary,positive
but i dont mind the long line when theres a super cutie in front of me too bad hes wearing a  bracelet with a girls name on it,dont mind long line theres super cutie front bad hes wearing bracelet girls name,neutral
 glad u feel like cooking im so tired,glad u feel like cooking im tired,neutral
really i can only go in direction at a time ugh  gotta take authority over the time day  say hello dont be a stranger beblessed,really go direction time ugh got ta take authority time day say hello dont stranger beblessed,neutral
didnt make to my cousins yacht convention hope he doesnt get upset and hope he won,didnt make cousins yacht convention hope doesnt get upset hope,positive
sitting on the decking reading psychology notes with my ipod and my dog its far too warm,sitting decking reading psychology notes ipod dog far warm,negative
httptwitpiccomwsy  my babe,httptwitpiccomwsy babe,neutral
 i luv urs admitting niley with a kiss  but then they change their minds  haha  demisterling  not jemi but still cute,luv urs admitting niley kiss change minds haha demisterling jemi still cute,positive
taping at cox then picking up starbucks for the office bc i am so nice,taping cox picking starbucks office bc nice,positive
 i do show some discretion occasionally,show discretion occasionally,negative
 oh my goodness  how awful,oh goodness awful,neutral
  just amazes the heck out of me stillthis internet thing,amazes heck stillthis internet thing,positive
 ive lost count of the number ive rung today already    were going to wales but im due in court on monday,ive lost count number ive rung today already going wales im due court monday,neutral
is in mourning that he is having to miss the homesssssskooooler fair today,mourning miss homesssssskooooler fair today,negative
 i would direct message you regarding blogging while brown but a sista hasnt mastered that technique yet  lol,would direct message regarding blogging brown sista hasnt mastered technique yet lol,neutral
 it doesnt work with the iphone yet   i love it for the simplicity but i need to be able to sort tasks on my iphone to be useful,doesnt work iphone yet love simplicity need able sort tasks iphone useful,neutral
 byeeeee,byeeeee,neutral
dilemma what to wear now sanfran foggy and   then sacramento in cple hrs sun and  degr ,dilemma wear sanfran foggy sacramento cple hrs sun degr,neutral
spent last night in ae er wife tangled wheels with daughter  hit the deck dislocation  fracture resulted,spent last night ae er wife tangled wheels daughter hit deck dislocation fracture resulted,neutral
on the train now i forgot by charger  that means no whoshere for me today till i get home haha  but id still tweet u guys ,train forgot charger means whoshere today till get home haha id still tweet u guys,neutral
ive just open this thing,ive open thing,neutral
 thank you clayton going to my favorite greek resturant after church for moms day  loved you on huckabee,thank clayton going favorite greek resturant church moms day loved huckabee,positive
just got back from hangin with the bestie at the pool soo nice,got back hangin bestie pool soo nice,positive
cant find her favorite nike shorts,cant find favorite nike shorts,neutral
 i left mine in musici think i dont have a camera anymore,left mine musici think dont camera anymore,neutral
 twitter tends to do that to us,twitter tends us,neutral
_atticus thank you,_atticus thank,positive
 aww yeah its more fun revising with others but you get distracted easier  yeah im tired revising history,aww yeah fun revising others get distracted easier yeah im tired revising history,neutral
made it to wisconsin now off to golden corral again dang lol we missed the graduation tho  dang,made wisconsin golden corral dang lol missed graduation tho dang,negative
so i love my mac but msn doesnt work on it still,love mac msn doesnt work still,neutral
 thats me set up for an exciting sunday lol,thats set exciting sunday lol,positive
cba with exams  left,cba exams left,neutral
is bored waiting till  to go out to tha bus,bored waiting till go tha bus,negative
 ooh which two books did you buy,ooh two books buy,neutral
 aw kaelah i feel so bad for you this sounds serious please get better soon i admire you for still working hard and stuff,aw kaelah feel bad sounds serious please get better soon admire still working hard stuff,neutral
to bed i go   nighty night,bed go nighty night,neutral
 awesome im glad you like it  fyi  platinum notes  should be out as a free upgrade this summer,awesome im glad like fyi platinum notes free upgrade summer,positive
got the keys to my new flat  gorgeous weather for weekend  and im spending it packing,got keys new flat gorgeous weather weekend im spending packing,positive
 now my heart isnt cold  but im still missing you,heart isnt cold im still missing,negative
 itll be worth the wait im busting a gut here,itll worth wait im busting gut,positive
 i like them i mean i like whats left of them,like mean like whats left,positive
  im not a big fan of costa  i ended up going to eat as they have one outside our office,im big fan costa ended going eat one outside office,negative
hates the sound of silencedoesnt like being shut out,hates sound silencedoesnt like shut,negative
humm i adore mark hoppusday so im just going to throw it out there hoppusday have a nice hoppusday people,humm adore mark hoppusday im going throw hoppusday nice hoppusday people,positive
muffins muffins are delicious muffins are neat i have no more muffins to eat,muffins muffins delicious muffins neat muffins eat,neutral
 sounds like youre in for a great day  enjoy,sounds like youre great day enjoy,positive
 it was a lot of stress though so with that and supporting two big families he never quit smoking and died of lung cancer at ,lot stress though supporting two big families never quit smoking died lung cancer,negative
 hours of shopping over good effort best part  chocolate shop yujm yum even,hours shopping good effort best part chocolate shop yujm yum even,positive
 ok well from the pic i take it you do thats unlucky  lmao,ok well pic take thats unlucky lmao,negative
nice sunny day,nice sunny day,positive
missing my husband but it was nice to wake up in my parents house the dogs are ecstatic,missing husband nice wake parents house dogs ecstatic,neutral
 haha yay we love you too mr shane dawson,haha yay love mr shane dawson,positive
 thanx tom  love u too  have a great day,thanx tom love u great day,positive
sick  right now very thankful for my chicken soup and my bed,sick right thankful chicken soup bed,neutral
 it does,it does,neutral
_perfect im trying to self learn photoshop but its not going so well,_perfect im trying self learn photoshop going well,negative
going to bed nowgood night tweeters,going bed nowgood night tweeters,positive
 meeeee it sounds delicious,meeeee sounds delicious,positive
 now cash u kno im not a haterjus upset i dont have my update yet,cash u kno im haterjus upset dont update yet,negative
in a bad mood now  annoying when its sunny,bad mood annoying sunny,negative
 seems like working rofl  sadly money is not growing on a tree,seems like working rofl sadly money growing tree,negative
ok dear tweeps goodnight i need  get up early  say happy mothers day  wife n mom,ok dear tweeps goodnight need get early say happy mothers day wife n mom,positive
has applied for osap yet again god im gonna owe major  by the end of my academic career this just aint right,applied osap yet god im gon na owe major end academic career aint right,negative
sleeping on the streets of nyc for a celebritynothing new wish i had a huge blanket though,sleeping streets nyc celebritynothing new wish huge blanket though,neutral
that was an interesting show to say the least recap tomorrow first i must sleep work in am,interesting show say least recap tomorrow first must sleep work,positive
wohoo going to see eddie izzard in december,wohoo going see eddie izzard december,positive
another rainy day,another rainy day,neutral
i hear its wonderful in california,hear wonderful california,positive
curious if they fixed the window handle in our room in the meantime  edc,curious fixed window handle room meantime edc,neutral
 so im screwed,im screwed,negative
 all good take a rest,good take rest,positive
watching scrubs season  oh im gonna miss that show,watching scrubs season oh im gon na miss show,negative
baby alex i miss you  ily good night,baby alex miss ily good night,positive
  has demi ever replied to you coz i havent got any,demi ever replied coz havent got,neutral
hmm no holga for me probably,hmm holga probably,neutral
 wow congrats rosemary,wow congrats rosemary,positive
just watched the trailer for the new sam raimi movie drag me to hell  looks interesting but there was no humor in it,watched trailer new sam raimi movie drag hell looks interesting humor,neutral
in paris till friday,paris till friday,neutral
ugh i wish this school year would go faster so i can move on in life,ugh wish school year would go faster move life,neutral
i wanna go to prom one day   i wish u can go with me  my prom even though im not a guybut thatwouldmakeof myfriends happy,wan na go prom one day wish u go prom even though im guybut thatwouldmakeof myfriends happy,positive
which do you prefer hamdemic aporkalypse or parmageddon,prefer hamdemic aporkalypse parmageddon,neutral
  you can do yiiiit  night,yiiiit night,neutral
i have become my mothers slave,become mothers slave,negative
the arrival of cargo red g to toronto has been postponed til tomorrow afternoon  gonna miss my lil bros bdayhes been waiting  me,arrival cargo red g toronto postponed til tomorrow afternoon gon na miss lil bros bdayhes waiting,negative
 really i feel special,really feel special,positive
call me wierd but i jus luv rainy days makes me feel so warm  cozy inside  lol,call wierd jus luv rainy days makes feel warm cozy inside lol,positive
i cant watch anythgin till tonight,cant watch anythgin till tonight,neutral
my baby is going to her first sleepover tonight   im gonna need a lot of wine to get me through today,baby going first sleepover tonight im gon na need lot wine get today,neutral
trying to fix some weird query,trying fix weird query,negative
  she was sleep and then she woke up to check on me see if i was cold or hot i love my mom,sleep woke check see cold hot love mom,positive
 cool i have one from a decluttering friend but i dont know how to play,cool one decluttering friend dont know play,neutral
rainy mondays is there a better day to work at home i am thankful,rainy mondays better day work home thankful,positive
 then maybe we should ask him for a raise,maybe ask raise,neutral
 no trips planned yet but ill let you know if there is,trips planned yet ill let know,neutral
smh  ppl who only twit u up on fridays bc u got  followers and theyre still banking   nofakery,smh ppl twit u fridays bc u got followers theyre still banking nofakery,neutral
_kimbalicious lol i was just walking  i think its all the polish i used while cleaning earlier its made the floor slippery,_kimbalicious lol walking think polish used cleaning earlier made floor slippery,neutral
reeeejuvinated  and bored as hell,reeeejuvinated bored hell,neutral
bored nothing to do,bored nothing,negative
 sounds nice if you try the recipe you gotta tell me how it turned out,sounds nice try recipe got ta tell turned,positive
last day of classes,last day classes,neutral
 i hope to no promises  they all my kids and the dog at the moment a couple of flowers too,hope promises kids dog moment couple flowers,positive
 i know  but the weathers clearing and suppose to be nice sat and sun,know weathers clearing suppose nice sat sun,positive
getting ready so i can go out,getting ready go,neutral
now accepting maid applications  would be nice if youd start first thing tomorrow  would make a wonderful mothers day present,accepting maid applications would nice youd start first thing tomorrow would make wonderful mothers day present,positive
 lol ill have to look on youtube later  thanks,lol ill look youtube later thanks,positive
 the dayem computer  twpp,dayem computer twpp,neutral
happy mothers day,happy mothers day,positive
having some coronas and have a bad craving for mexican pastries but id have to go to uptown to get some,coronas bad craving mexican pastries id go uptown get,negative
 good morning to you hope you have a nice productive day,good morning hope nice productive day,positive
eating a bagel  yummy,eating bagel yummy,positive
cant sleep just laying here in the dark,cant sleep laying dark,neutral
 i dont i hope it takes them a good long while to recover,dont hope takes good long recover,positive
last day of college today,last day college today,neutral
terence cao overdose  im fainting,terence cao overdose im fainting,neutral
    lmao yes its on the th  i get so excited lol,lmao yes th get excited lol,positive
 have a great weekend mononoke  i may be tweeting from inside the movie theater either monday or tuesday  lol,great weekend mononoke may tweeting inside movie theater either monday tuesday lol,positive
 no but i will it just seems such a cruel condition,seems cruel condition,negative
theres starwars day  omg rocio,theres starwars day omg rocio,neutral
 doing really well i will stay here as long as is needed  so you can definitely come and visit me look forward too ,really well stay long needed definitely come visit look forward,positive
nothin to do,nothin,neutral
 haha that photo is too funny i hope he wasnt disturbed by passengers too much during the flight,haha photo funny hope wasnt disturbed passengers much flight,positive
got moommy somn special for mothers day,got moommy somn special mothers day,positive
i am talking on the phone to paul,talking phone paul,neutral
_elj ok nice one cheers boss  am liking the lack of fcs today,_elj ok nice one cheers boss liking lack fcs today,positive
  ooh but you soon get to meet the dung mice,ooh soon get meet dung mice,neutral
 haha thats awesome good job,haha thats awesome good job,positive
chem final right now awwh mrs oli imma miss you,chem final right awwh mrs oli imma miss,negative
 oops i meant th  snowdaysss,oops meant th snowdaysss,negative
finally lost fm,finally lost fm,negative
th street was amazing this weekend the wedding was fantastic but im really really tired at work from the long eventful weekend,th street amazing weekend wedding fantastic im really really tired work long eventful weekend,neutral
happy mothers day     gr day,happy mothers day gr day,positive
watched the boy in the striped pjs the other day tooone of the best films ive ever seen,watched boy striped pjs day tooone best films ive ever seen,positive
gotta buy some onesies for my besties lol ah yea  at the club having a grand ol time,got ta buy onesies besties lol ah yea club grand ol time,positive
lan poker is so much fun  someone help me remember ki compre chal raha hai abhi,lan poker much fun someone help remember ki compre chal raha hai abhi,positive
 thanks mckenzie,thanks mckenzie,positive
i really want to go to milwaukee but my sis doesnt want to  well she wont tell me,really want go milwaukee sis doesnt want well wont tell,negative
am hungry agaaaaaaiiiin maaaam,hungry agaaaaaaiiiin maaaam,negative
 thanksmine wasnt too bad made a card for my mom had a nice nap finished some work wrote bills i have a surprise for you,thanksmine wasnt bad made card mom nice nap finished work wrote bills surprise,positive
i feel less than nothin lower than zero,feel less nothin lower zero,negative
  you may have to email the tech support ppl thats odd,may email tech support ppl thats odd,negative
 hey where do you go last night  was expecting to see you  on broadway,hey go last night expecting see broadway,neutral
good morning people  in good old germany is it soooo cold,good morning people good old germany soooo cold,positive
 yeah i did  i remember it na i did watch it before ,yeah remember na watch,neutral
 it wont work in the uk,wont work uk,negative
claude debussy is my homeboy,claude debussy homeboy,neutral
 i saw them a few on this tour a few months ago in boston so good glad you finally got to see them,saw tour months ago boston good glad finally got see,positive
 ah so  months im sure he is advanced and its not you being biased  they seem to grow up faster these days  now i sound old,ah months im sure advanced biased seem grow faster days sound old,neutral
 ah same  how was oliver so anooyed i couldnt come we are the only ones with twiiter  its great x,ah oliver anooyed couldnt come ones twiiter great x,neutral
the whole day,whole day,neutral
sigh my  usb died on my this afternoon rip you will be missed i hadnt even had the chance to parade you around yet,sigh usb died afternoon rip missed hadnt even chance parade around yet,negative
 omg so srry to hear that,omg srry hear,negative
looking for my self be right back,looking self right back,neutral
 mmm thanks if u get too stoned and eat it thats cool,mmm thanks u get stoned eat thats cool,positive
 for real  isn exciting,real exciting,positive
 awesome lemme see when youre done,awesome lem see youre done,positive
 i will do that,I will do that,neutral
 really,really,neutral
i got a bruise on my foot out if nowhere  it hurts,got bruise foot nowhere hurts,negative
 if you mention this twitter group to your followers i would be very grateful,mention twitter group followers would grateful,positive
the last day of the last time i visit my parents as an unmarried woman    httpbitlymoqn  ,last day last time visit parents unmarried woman httpbitlymoqn,neutral
headed to drop my lil cuz off at the bus stop then its back to the bed to read my book  relaxin on my day off,headed drop lil cuz bus stop back bed read book relaxin day,positive
 oh yeahhavent seem that in ages got to watch that soon thanks for reminding me,oh yeahhavent seem ages got watch soon thanks reminding,positive
_the_bc well in the end everyones happy most of the time,_the_bc well end everyones happy time,positive
still page one on google   still cant quite believe it   not spent a cent to get to page one wow what nextmmmmmm,still page one google still cant quite believe spent cent get page one wow nextmmmmmm,neutral
good morning everyone,good morning everyone,positive
came home after getting ratty in a shop with the staff and a blister on the foot meh,came home getting ratty shop staff blister foot meh,negative
one of my favorite most relaxing songs to wake up to httptinyurlcomcfre good morning,one favorite relaxing songs wake httptinyurlcomcfre good morning,positive
oh ffs  a dont get paid till monday   sorry william gonna have to wait till next weekend till i give you   ,oh ffs dont get paid till monday sorry william gon na wait till next weekend till give,negative
first ever dropped call on my mobile on a call to  no less  being charged for data even though i have a data pack  ,first ever dropped call mobile call less charged data even though data pack,negative
gotta get up in a few hoursbooo  gooodnight,got ta get hoursbooo gooodnight,neutral
come on bell ring i want to go outside,come bell ring want go outside,neutral
